state,legal_sticks_000,illegal_sticks_000,total_sticks_000,incidence_percent
Perlis,2945,2112,5057,41.8
Kedah,20617,9878,30495,32.4
Penang,36144,33129,69273,47.8
Perak,38248,19048,57296,33.2
Selangor,126852,102534,229386,44.7
WP KL,60117,43776,103893,42.1
N.Sembilan,25263,18331,43594,42.0
Melaka,18453,23713,42166,56.2
Johor,99921,132262,232183,57.0
Pahang,22126,92479,114606,80.7
Terengganu,10149,24272,34422,70.5
Kelantan,14253,21622,35874,60.3
Sabah,18884,70680,89564,78.9
Sarawak,16347,66596,82943,80.3
National,510319,660432,1170751,56.4
