state,latitude,longitude,illegal_incidence,illegal_sticks_000,risk_level,cluster
Perlis,6.4414,100.1986,41.8,2112,LOW RISK,0
Kedah,6.1184,100.3685,32.4,9878,LOW RISK,0
Penang,5.4164,100.3327,47.8,33129,LOW RISK,0
Perak,4.5921,101.0901,33.2,19048,LOW RISK,-1
Selangor,3.0738,101.5183,44.7,102534,LOW RISK,1
WP KL,3.139,101.6869,42.1,43776,LOW RISK,1
N.Sembilan,2.7258,101.9424,42.0,18331,LOW RISK,1
Melaka,2.1896,102.2501,56.2,23713,MEDIUM RISK,2
Johor,1.4927,103.7414,57.0,132262,MEDIUM RISK,2
Pahang,3.8126,103.3256,80.7,92479,HIGH RISK,-1
Terengganu,5.3117,103.1324,70.5,24272,HIGH RISK,-1
Kelantan,6.1254,102.2386,60.3,21622,MEDIUM RISK,-1
Sabah,5.9804,116.0735,78.9,70680,HIGH RISK,-1
Sarawak,1.5533,110.3592,80.3,66596,HIGH RISK,-1
