state,jan_2024_actual,apr_2024_forecast,forecast_change
Pahang,80.7,81.15,0.45000000000000284
Sarawak,80.3,80.5,0.20000000000000284
Sabah,78.9,79.45000000000002,0.5500000000000114
Terengganu,70.5,72.9,2.4000000000000057
Kelantan,60.3,62.89999999999999,2.5999999999999943
Melaka,56.2,58.75,2.549999999999997
Johor,57.0,57.5,0.5
Penang,47.8,48.449999999999996,0.6499999999999986
Selangor,44.7,45.0,0.29999999999999716
N.Sembilan,42.0,43.75,1.75
WP KL,42.1,42.05,-0.05000000000000426
Perlis,41.8,36.8,-5.0
Perak,33.2,33.150000000000006,-0.04999999999999716
Kedah,32.4,26.95,-5.449999999999999
